season,week,contestant_row,celebrity_name,ballroom_partner,placement,results,judge_total_S,judge_share_Q,fan_share_P,fan_votes_V,composite_C
2,3,2,Giselle Fernandez,Jonathan Roberts,8,Eliminated Week 3,7.333333333333333,0.12087912087912088,0.0277777777777777,277777.7777777777,0.14865689865689857
2,4,1,George Hamilton,Edyta Sliwinska,5,Eliminated Week 6,7.0,0.1329113924050633,0.25,2500000.0,0.38291139240506333
2,4,3,Jerry Rice,Anna Trebunskaya,2,2nd Place,8.0,0.1518987341772152,0.2142857142857142,2142857.1428571427,0.3661844484629294
2,4,9,Tia Carrere,Maksim Chmerkoskiy,6,Eliminated Week 5,8.333333333333334,0.15822784810126583,0.1785714285714285,1785714.2857142857,0.3367992766726943
2,4,5,Lisa Rinna,Louis van Amstel,4,Eliminated Week 7,8.666666666666666,0.16455696202531644,0.1428571428571428,1428571.4285714284,0.30741410488245924
2,4,7,Stacy Keibler,Tony Dovolani,3,3rd Place,8.666666666666666,0.16455696202531644,0.1071428571428571,1071428.5714285714,0.27169981916817354
2,4,0,Drew Lachey,Cheryl Burke,1,1st Place,9.333333333333334,0.17721518987341775,0.0714285714285714,714285.7142857142,0.24864376130198915
2,4,6,Master P,Ashly DelGrosso,7,Eliminated Week 4,2.6666666666666665,0.05063291139240506,0.0357142857142857,357142.8571428571,0.08634719710669075
2,5,3,Jerry Rice,Anna Trebunskaya,2,2nd Place,7.666666666666667,0.152317880794702,0.2857142857142857,2857142.857142857,0.4380321665089877
2,5,1,George Hamilton,Edyta Sliwinska,5,Eliminated Week 6,8.0,0.15894039735099336,0.238095238095238,2380952.3809523806,0.3970356354462313
2,5,5,Lisa Rinna,Louis van Amstel,4,Eliminated Week 7,8.333333333333334,0.16556291390728478,0.1904761904761904,1904761.9047619049,0.3560391043834752
2,5,0,Drew Lachey,Cheryl Burke,1,1st Place,9.0,0.17880794701986755,0.1428571428571428,1428571.4285714284,0.32166508987701037
2,5,7,Stacy Keibler,Tony Dovolani,3,3rd Place,10.0,0.1986754966887417,0.0952380952380952,952380.9523809524,0.2939135919268369
2,5,9,Tia Carrere,Maksim Chmerkoskiy,6,Eliminated Week 5,7.333333333333333,0.1456953642384106,0.0476190476190476,476190.47619047615,0.19331441185745818
2,6,3,Jerry Rice,Anna Trebunskaya,2,2nd Place,7.666666666666667,0.17293233082706766,0.3333333333333333,3333333.333333333,0.506265664160401
2,6,5,Lisa Rinna,Louis van Amstel,4,Eliminated Week 7,9.0,0.20300751879699247,0.2666666666666666,2666666.6666666665,0.4696741854636591
2,6,7,Stacy Keibler,Tony Dovolani,3,3rd Place,10.0,0.22556390977443608,0.2,2000000.0,0.4255639097744361
2,6,0,Drew Lachey,Cheryl Burke,1,1st Place,10.0,0.22556390977443608,0.1333333333333333,1333333.3333333333,0.3588972431077694
2,6,1,George Hamilton,Edyta Sliwinska,5,Eliminated Week 6,7.666666666666667,0.17293233082706766,0.0666666666666666,666666.6666666666,0.23959899749373426
2,7,3,Jerry Rice,Anna Trebunskaya,2,2nd Place,6.833333333333333,0.20098039215686272,0.4,4000000.0,0.6009803921568627
2,7,7,Stacy Keibler,Tony Dovolani,3,3rd Place,9.166666666666666,0.2696078431372549,0.3,3000000.0,0.5696078431372549
2,7,0,Drew Lachey,Cheryl Burke,1,1st Place,9.166666666666666,0.2696078431372549,0.2,2000000.0,0.4696078431372549
2,7,5,Lisa Rinna,Louis van Amstel,4,Eliminated Week 7,8.833333333333334,0.25980392156862747,0.1,1000000.0,0.3598039215686275
2,8,0,Drew Lachey,Cheryl Burke,1,1st Place,9.6666,0.3438729131809768,0.5,5000000.0,0.8438729131809768
2,8,7,Stacy Keibler,Tony Dovolani,3,3rd Place,9.5555,0.339920718960216,0.3333333333333333,3333333.333333333,0.6732540522935493
2,8,3,Jerry Rice,Anna Trebunskaya,2,2nd Place,8.888866666666667,0.3162063678588072,0.1666666666666666,1666666.6666666665,0.4828730345254738
3,1,4,Mario Lopez,Karina Smirnoff,2,2nd Place,8.666666666666666,0.12264150943396225,0.1,1000000.0,0.22264150943396227
3,1,0,Emmitt Smith,Cheryl Burke,1,1st Place,8.0,0.11320754716981131,0.1,1000000.0,0.21320754716981133
3,1,9,Vivica A. Fox,Nick Kosovich,8,Eliminated Week 4,7.333333333333333,0.10377358490566037,0.1,1000000.0,0.2037735849056604
3,1,10,Willa Ford,Maksim Chmerkoskiy,7,Eliminated Week 5,7.333333333333333,0.10377358490566037,0.1,1000000.0,0.2037735849056604
3,1,3,Joey Lawrence,Edyta Sliwinska,3,3rd Place,7.0,0.0990566037735849,0.1,1000000.0,0.19905660377358492
3,1,5,Monique Coleman,Louis van Amstel,4,Eliminated Week 8,6.333333333333333,0.08962264150943396,0.1,1000000.0,0.18962264150943398
3,1,7,Shanna Moakler,Jesse DeSoto,10,Eliminated Week 2,6.0,0.08490566037735849,0.1,1000000.0,0.1849056603773585
3,1,1,Harry Hamlin,Ashly DelGrosso,9,Eliminated Week 3,5.666666666666667,0.08018867924528301,0.1,1000000.0,0.18018867924528303
3,1,2,Jerry Springer,Kym Johnson,5,Eliminated Week 7,5.333333333333333,0.07547169811320754,0.1,1000000.0,0.17547169811320756
3,1,6,Sara Evans,Tony Dovolani,6,Withdrew,5.0,0.07075471698113207,0.1,1000000.0,0.1707547169811321
3,1,8,Tucker Carlson,Elena Grinenko,11,Eliminated Week 1,4.0,0.056603773584905655,0.0,0.0,0.056603773584905655
3,2,3,Joey Lawrence,Edyta Sliwinska,3,3rd Place,9.666666666666666,0.12608695652173912,0.1082125603864734,1082125.6038647343,0.23429951690821252
3,2,5,Monique Coleman,Louis van Amstel,4,Eliminated Week 8,8.666666666666666,0.11304347826086955,0.1082125603864734,1082125.6038647343,0.22125603864734295
3,2,9,Vivica A. Fox,Nick Kosovich,8,Eliminated Week 4,8.0,0.10434782608695652,0.1082125603864734,1082125.6038647343,0.2125603864734299
3,2,0,Emmitt Smith,Cheryl Burke,1,1st Place,8.0,0.10434782608695652,0.1082125603864734,1082125.6038647343,0.2125603864734299
3,2,10,Willa Ford,Maksim Chmerkoskiy,7,Eliminated Week 5,7.666666666666667,0.09999999999999999,0.1082125603864734,1082125.6038647343,0.2082125603864734
3,2,2,Jerry Springer,Kym Johnson,5,Eliminated Week 7,6.333333333333333,0.08260869565217391,0.121256038647343,1212560.38647343,0.2038647342995169
3,2,1,Harry Hamlin,Ashly DelGrosso,9,Eliminated Week 3,7.0,0.09130434782608696,0.1125603864734299,1125603.8647342997,0.20386473429951685
3,2,4,Mario Lopez,Karina Smirnoff,2,2nd Place,7.0,0.09130434782608696,0.1125603864734299,1125603.8647342997,0.20386473429951685
3,2,6,Sara Evans,Tony Dovolani,6,Withdrew,7.0,0.09130434782608696,0.1125603864734299,1125603.8647342997,0.20386473429951685
3,2,7,Shanna Moakler,Jesse DeSoto,10,Eliminated Week 2,7.333333333333333,0.09565217391304347,0.0,0.0,0.09565217391304347
3,3,9,Vivica A. Fox,Nick Kosovich,8,Eliminated Week 4,9.0,0.13043478260869565,0.1225845410628019,1225845.4106280194,0.25301932367149754
3,3,5,Monique Coleman,Louis van Amstel,4,Eliminated Week 8,9.0,0.13043478260869565,0.1225845410628019,1225845.4106280194,0.25301932367149754
3,3,6,Sara Evans,Tony Dovolani,6,Withdrew,8.333333333333334,0.12077294685990339,0.1225845410628019,1225845.4106280194,0.24335748792270528
3,3,3,Joey Lawrence,Edyta Sliwinska,3,3rd Place,7.333333333333333,0.10628019323671498,0.1225845410628019,1225845.4106280194,0.22886473429951687
3,3,4,Mario Lopez,Karina Smirnoff,2,2nd Place,7.333333333333333,0.10628019323671498,0.1225845410628019,1225845.4106280194,0.22886473429951687
3,3,0,Emmitt Smith,Cheryl Burke,1,1st Place,6.333333333333333,0.09178743961352656,0.1370772946859903,1370772.9468599034,0.22886473429951687
3,3,10,Willa Ford,Maksim Chmerkoskiy,7,Eliminated Week 5,7.333333333333333,0.10628019323671498,0.1225845410628019,1225845.4106280194,0.22886473429951687
3,3,2,Jerry Springer,Kym Johnson,5,Eliminated Week 7,7.0,0.10144927536231885,0.127415458937198,1274154.5893719809,0.22886473429951684
3,3,1,Harry Hamlin,Ashly DelGrosso,9,Eliminated Week 3,7.333333333333333,0.10628019323671498,0.0,0.0,0.10628019323671498
3,4,4,Mario Lopez,Karina Smirnoff,2,2nd Place,9.666666666666666,0.14646464646464646,0.1385281385281385,1385281.3852813854,0.28499278499278496
3,4,10,Willa Ford,Maksim Chmerkoskiy,7,Eliminated Week 5,9.333333333333334,0.14141414141414144,0.1385281385281385,1385281.3852813854,0.27994227994227994
3,4,3,Joey Lawrence,Edyta Sliwinska,3,3rd Place,9.0,0.13636363636363635,0.1385281385281385,1385281.3852813854,0.27489177489177485
3,4,5,Monique Coleman,Louis van Amstel,4,Eliminated Week 8,8.0,0.12121212121212122,0.1385281385281385,1385281.3852813854,0.2597402597402597
3,4,0,Emmitt Smith,Cheryl Burke,1,1st Place,8.0,0.12121212121212122,0.1385281385281385,1385281.3852813854,0.2597402597402597
3,4,6,Sara Evans,Tony Dovolani,6,Withdrew,6.666666666666667,0.10101010101010101,0.1587301587301587,1587301.5873015872,0.2597402597402597
3,4,2,Jerry Springer,Kym Johnson,5,Eliminated Week 7,7.333333333333333,0.1111111111111111,0.1486291486291486,1486291.4862914863,0.2597402597402597
3,4,9,Vivica A. Fox,Nick Kosovich,8,Eliminated Week 4,8.0,0.12121212121212122,0.0,0.0,0.12121212121212122
3,5,3,Joey Lawrence,Edyta Sliwinska,3,3rd Place,8.333333333333334,0.13812154696132597,0.175524861878453,1755248.6187845303,0.313646408839779
3,5,2,Jerry Springer,Kym Johnson,5,Eliminated Week 7,8.0,0.13259668508287292,0.1810497237569061,1810497.2375690609,0.313646408839779
3,5,5,Monique Coleman,Louis van Amstel,4,Eliminated Week 8,9.0,0.14917127071823205,0.1644751381215469,1644751.3812154697,0.31364640883977896
3,5,4,Mario Lopez,Karina Smirnoff,2,2nd Place,9.0,0.14917127071823205,0.1644751381215469,1644751.3812154697,0.31364640883977896
3,5,0,Emmitt Smith,Cheryl Burke,1,1st Place,9.0,0.14917127071823205,0.1644751381215469,1644751.3812154697,0.31364640883977896
3,5,10,Willa Ford,Maksim Chmerkoskiy,7,Eliminated Week 5,9.0,0.14917127071823205,0.15,1500000.0000000002,0.299171270718232
3,5,6,Sara Evans,Tony Dovolani,6,Withdrew,8.0,0.13259668508287292,0.0,0.0,0.13259668508287292
3,6,4,Mario Lopez,Karina Smirnoff,2,2nd Place,9.333333333333334,0.23728813559322035,0.2372881355932203,2372881.355932204,0.47457627118644063
3,6,0,Emmitt Smith,Cheryl Burke,1,1st Place,8.333333333333334,0.211864406779661,0.211864406779661,2118644.0677966103,0.423728813559322
3,6,3,Joey Lawrence,Edyta Sliwinska,3,3rd Place,8.0,0.20338983050847456,0.2033898305084745,2033898.3050847456,0.40677966101694907
3,6,5,Monique Coleman,Louis van Amstel,4,Eliminated Week 8,7.666666666666667,0.19491525423728814,0.1949152542372881,1949152.5423728812,0.38983050847457623
3,6,2,Jerry Springer,Kym Johnson,5,Eliminated Week 7,6.0,0.15254237288135591,0.1525423728813559,1525423.728813559,0.30508474576271183
3,7,3,Joey Lawrence,Edyta Sliwinska,3,3rd Place,9.5,0.2111111111111111,0.24275,2427500.0,0.4538611111111111
3,7,0,Emmitt Smith,Cheryl Burke,1,1st Place,9.5,0.2111111111111111,0.24275,2427500.0,0.4538611111111111
3,7,4,Mario Lopez,Karina Smirnoff,2,2nd Place,9.333333333333334,0.20740740740740743,0.24275,2427500.0,0.4501574074074074
3,7,5,Monique Coleman,Louis van Amstel,4,Eliminated Week 8,9.0,0.2,0.24275,2427500.0,0.44275
3,7,2,Jerry Springer,Kym Johnson,5,Eliminated Week 7,7.666666666666667,0.17037037037037037,0.029,290000.0,0.19937037037037036
3,8,4,Mario Lopez,Karina Smirnoff,2,2nd Place,9.5,0.26146788990825687,0.332,3320000.0,0.5934678899082568
3,8,3,Joey Lawrence,Edyta Sliwinska,3,3rd Place,9.0,0.2477064220183486,0.332,3320000.0,0.5797064220183487
3,8,0,Emmitt Smith,Cheryl Burke,1,1st Place,9.0,0.2477064220183486,0.332,3320000.0,0.5797064220183487
3,8,5,Monique Coleman,Louis van Amstel,4,Eliminated Week 8,8.833333333333334,0.24311926605504589,0.004,40000.0,0.2471192660550459
3,9,4,Mario Lopez,Karina Smirnoff,2,2nd Place,9.833333333333334,0.33333333333333337,0.3334999999999999,3334999.9999999995,0.6668333333333333
3,9,0,Emmitt Smith,Cheryl Burke,1,1st Place,9.833333333333334,0.33333333333333337,0.3334999999999999,3334999.9999999995,0.6668333333333333
3,9,3,Joey Lawrence,Edyta Sliwinska,3,3rd Place,9.833333333333334,0.33333333333333337,0.333,3330000.0,0.6663333333333334
3,10,4,Mario Lopez,Karina Smirnoff,2,2nd Place,9.888866666666669,0.5,0.5,5000000.0,1.0
3,10,0,Emmitt Smith,Cheryl Burke,1,1st Place,9.888866666666669,0.5,0.5,5000000.0,1.0
4,1,5,Joey Fatone,Kym Johnson,2,2nd Place,8.0,0.11650485436893203,0.116504854368932,1165048.5436893206,0.23300970873786403
4,1,7,Laila Ali,Maksim Chmerkoskiy,3,3rd Place,7.666666666666667,0.1116504854368932,0.1116504854368932,1116504.8543689323,0.2233009708737864
4,1,4,Ian Ziering,Cheryl Burke,4,Eliminated Week 9,7.0,0.10194174757281553,0.1019417475728155,1019417.4757281556,0.20388349514563103
4,1,0,Apolo Anton Ohno,Julianne Hough,1,1st Place,7.0,0.10194174757281553,0.1019417475728155,1019417.4757281556,0.20388349514563103
4,1,10,Shandi Finnessey,Brian Fortuna,10,Eliminated Week 3,6.333333333333333,0.09223300970873785,0.0922330097087378,922330.0970873788,0.18446601941747565
4,1,9,Paulina Porizkova,Alec Mazo,11,Eliminated Week 2,6.333333333333333,0.09223300970873785,0.0922330097087378,922330.0970873788,0.18446601941747565
4,1,3,Heather Mills,Jonathan Roberts,7,Eliminated Week 6,6.0,0.08737864077669902,0.087378640776699,873786.4077669905,0.17475728155339804
4,1,6,John Ratzenberger,Edyta Sliwinska,6,Eliminated Week 7,5.666666666666667,0.0825242718446602,0.0825242718446602,825242.7184466021,0.1650485436893204
4,1,2,Clyde Drexler,Elena Grinenko,8,Eliminated Week 5,5.333333333333333,0.07766990291262135,0.0776699029126213,776699.0291262136,0.15533980582524265
4,1,8,Leeza Gibbons,Tony Dovolani,9,Eliminated Week 4,5.0,0.07281553398058252,0.0728155339805825,728155.3398058254,0.14563106796116504
4,1,1,Billy Ray Cyrus,Karina Smirnoff,5,Eliminated Week 8,4.333333333333333,0.06310679611650484,0.0631067961165048,631067.9611650485,0.12621359223300965
4,2,7,Laila Ali,Maksim Chmerkoskiy,3,3rd Place,9.0,0.11020408163265308,0.0983673469387755,983673.4693877551,0.20857142857142857
4,2,0,Apolo Anton Ohno,Julianne Hough,1,1st Place,8.666666666666666,0.10612244897959185,0.0983673469387755,983673.4693877551,0.20448979591836736
4,2,3,Heather Mills,Jonathan Roberts,7,Eliminated Week 6,8.0,0.0979591836734694,0.0983673469387755,983673.4693877551,0.1963265306122449
4,2,5,Joey Fatone,Kym Johnson,2,2nd Place,8.0,0.0979591836734694,0.0983673469387755,983673.4693877551,0.1963265306122449
4,2,4,Ian Ziering,Cheryl Burke,4,Eliminated Week 9,7.333333333333333,0.08979591836734695,0.0983673469387755,983673.4693877551,0.18816326530612243
4,2,6,John Ratzenberger,Edyta Sliwinska,6,Eliminated Week 7,7.0,0.08571428571428573,0.0983673469387755,983673.4693877551,0.1840816326530612
4,2,10,Shandi Finnessey,Brian Fortuna,10,Eliminated Week 3,6.666666666666667,0.0816326530612245,0.1024489795918367,1024489.7959183676,0.1840816326530612
4,2,1,Billy Ray Cyrus,Karina Smirnoff,5,Eliminated Week 8,7.0,0.08571428571428573,0.0983673469387755,983673.4693877551,0.1840816326530612
4,2,8,Leeza Gibbons,Tony Dovolani,9,Eliminated Week 4,7.0,0.08571428571428573,0.0983673469387755,983673.4693877551,0.1840816326530612
4,2,2,Clyde Drexler,Elena Grinenko,8,Eliminated Week 5,6.0,0.07346938775510205,0.1106122448979591,1106122.448979592,0.18408163265306116
4,2,9,Paulina Porizkova,Alec Mazo,11,Eliminated Week 2,7.0,0.08571428571428573,0.0,0.0,0.08571428571428573
4,3,4,Ian Ziering,Cheryl Burke,4,Eliminated Week 9,8.0,0.11009174311926605,0.1080530071355759,1080530.0713557594,0.21814475025484195
4,3,3,Heather Mills,Jonathan Roberts,7,Eliminated Week 6,8.0,0.11009174311926605,0.1080530071355759,1080530.0713557594,0.21814475025484195
4,3,5,Joey Fatone,Kym Johnson,2,2nd Place,8.0,0.11009174311926605,0.1080530071355759,1080530.0713557594,0.21814475025484195
4,3,8,Leeza Gibbons,Tony Dovolani,9,Eliminated Week 4,8.0,0.11009174311926605,0.1080530071355759,1080530.0713557594,0.21814475025484195
4,3,0,Apolo Anton Ohno,Julianne Hough,1,1st Place,7.666666666666667,0.1055045871559633,0.1080530071355759,1080530.0713557594,0.2135575942915392
4,3,2,Clyde Drexler,Elena Grinenko,8,Eliminated Week 5,5.333333333333333,0.07339449541284403,0.1309887869520897,1309887.869520897,0.20438328236493375
4,3,7,Laila Ali,Maksim Chmerkoskiy,3,3rd Place,7.0,0.09633027522935779,0.1080530071355759,1080530.0713557594,0.2043832823649337
4,3,1,Billy Ray Cyrus,Karina Smirnoff,5,Eliminated Week 8,7.0,0.09633027522935779,0.1080530071355759,1080530.0713557594,0.2043832823649337
4,3,6,John Ratzenberger,Edyta Sliwinska,6,Eliminated Week 7,6.666666666666667,0.09174311926605504,0.1126401630988786,1126401.630988787,0.20438328236493364
4,3,10,Shandi Finnessey,Brian Fortuna,10,Eliminated Week 3,7.0,0.09633027522935779,0.0,0.0,0.09633027522935779
4,4,5,Joey Fatone,Kym Johnson,2,2nd Place,9.333333333333334,0.1473684210526316,0.1243421052631578,1243421.0526315789,0.2717105263157894
4,4,0,Apolo Anton Ohno,Julianne Hough,1,1st Place,8.666666666666666,0.13684210526315788,0.1243421052631578,1243421.0526315789,0.2611842105263157
4,4,4,Ian Ziering,Cheryl Burke,4,Eliminated Week 9,8.0,0.12631578947368421,0.1243421052631578,1243421.0526315789,0.250657894736842
4,4,3,Heather Mills,Jonathan Roberts,7,Eliminated Week 6,7.666666666666667,0.12105263157894737,0.1243421052631578,1243421.0526315789,0.24539473684210517
4,4,7,Laila Ali,Maksim Chmerkoskiy,3,3rd Place,7.0,0.11052631578947368,0.1243421052631578,1243421.0526315789,0.23486842105263148
4,4,1,Billy Ray Cyrus,Karina Smirnoff,5,Eliminated Week 8,7.0,0.11052631578947368,0.1243421052631578,1243421.0526315789,0.23486842105263148
4,4,2,Clyde Drexler,Elena Grinenko,8,Eliminated Week 5,5.0,0.07894736842105263,0.1296052631578947,1296052.6315789472,0.20855263157894732
4,4,6,John Ratzenberger,Edyta Sliwinska,6,Eliminated Week 7,5.333333333333333,0.08421052631578947,0.1243421052631578,1243421.0526315789,0.20855263157894727
4,4,8,Leeza Gibbons,Tony Dovolani,9,Eliminated Week 4,5.333333333333333,0.08421052631578947,0.0,0.0,0.08421052631578947
4,5,0,Apolo Anton Ohno,Julianne Hough,1,1st Place,10.0,0.17045454545454544,0.1397142857142857,1397142.857142857,0.31016883116883115
4,5,7,Laila Ali,Maksim Chmerkoskiy,3,3rd Place,9.333333333333334,0.1590909090909091,0.1397142857142857,1397142.857142857,0.2988051948051948
4,5,5,Joey Fatone,Kym Johnson,2,2nd Place,8.333333333333334,0.14204545454545453,0.1397142857142857,1397142.857142857,0.28175974025974027
4,5,4,Ian Ziering,Cheryl Burke,4,Eliminated Week 9,8.0,0.13636363636363635,0.1397142857142857,1397142.857142857,0.27607792207792203
