feature,group,coef_judge,coef_fan
ballroom_partner_Maksim Chmerkoskiy,ballroom_partner_,-0.09768544373537122,-0.8257525616778321
ballroom_partner_Ashly DelGrosso,ballroom_partner_,-0.0998962917871973,-0.8881973549899334
ballroom_partner_Brian Fortuna,ballroom_partner_,-0.10098555290017565,-1.9824579324286409
ballroom_partner_Lindsay Arnold,ballroom_partner_,-0.11689461099656587,-0.42074546955511277
ballroom_partner_Anna Trebunskaya,ballroom_partner_,-0.11990018619189118,-1.4468976183343418
ballroom_partner_Louis van Amstel,ballroom_partner_,-0.12110114920280768,-0.5423545208015146
ballroom_partner_Jesse DeSoto,ballroom_partner_,-0.12888076298264062,-2.5275864057814377
ballroom_partner_Kym Johnson,ballroom_partner_,-0.12949348280722117,-1.2082163945355087
ballroom_partner_Andrea Hale,ballroom_partner_,-0.1297972366789419,-2.142638353034509
ballroom_partner_Mark Ballas,ballroom_partner_,-0.13524870571459557,-1.1663669448909317
ballroom_partner_Tristan MacManus,ballroom_partner_,-0.14274662096073226,-0.39111648758461093
ballroom_partner_Corky Ballas,ballroom_partner_,-0.1451402902605993,0.520414429298625
ballroom_partner_Dmitry Chaplin,ballroom_partner_,-0.17373305337814518,-1.3258416185231667
ballroom_partner_Jan Ravnik,ballroom_partner_,-0.17447700638862176,-2.502413584695492
ballroom_partner_Karina Smirnoff,ballroom_partner_,-0.17528470375847904,-0.6490773596326526
ballroom_partner_Allison Holker,ballroom_partner_,-0.17839960629078322,-0.23868178160239606
ballroom_partner_Nick Kosovich,ballroom_partner_,-0.1828178481171387,-1.1316538207554925
ballroom_partner_Britt Stewart,ballroom_partner_,-0.1859009702618975,-0.9422182860050701
ballroom_partner_Fabian Sanchez,ballroom_partner_,-0.1873191620304188,-0.40665169252104527
ballroom_partner_Tyne Stecklein,ballroom_partner_,-0.18896144702855455,-4.518315510437914
ballroom_partner_Julianne Hough,ballroom_partner_,-0.19743501573072916,-0.6862063564321559
ballroom_partner_Inna Brayer,ballroom_partner_,-0.2058205307915627,-11.246471503494721
ballroom_partner_Jonathan Roberts,ballroom_partner_,-0.2078085312023305,-2.162669114603977
ballroom_partner_Edyta Sliwinska,ballroom_partner_,-0.2543379851448897,-1.43872286629763
ballroom_partner_Koko Iwasaki,ballroom_partner_,-0.25721139494775275,-0.10520961670717288
ballroom_partner_Lacey Schwimmer,ballroom_partner_,-0.2903448283659238,-0.9987256083547991
ballroom_partner_Chelsie Hightower,ballroom_partner_,-0.29655039451122706,-1.182460994482131
ballroom_partner_Elena Grinenko,ballroom_partner_,-0.6017595203112726,-2.795648215537531
ballroom_partner_Anna Demidova,ballroom_partner_,-0.6279846335180239,-0.29584147037660113
celebrity_industry_Musician,celebrity_industry_,0.1511364345138916,1.4014266123214165
celebrity_industry_News Anchor,celebrity_industry_,0.07239142433658448,0.8232583577771552
celebrity_industry_Journalist,celebrity_industry_,0.05329938772499801,0.4058434757587508
celebrity_industry_Conservationist,celebrity_industry_,0.006830148027349714,-0.0674244513526927
celebrity_industry_Athlete,celebrity_industry_,0.0015355530679193041,-0.2432913541399886
celebrity_industry_Con artist,celebrity_industry_,-0.01737413319643155,-0.8506586076173916
celebrity_industry_Singer/Rapper,celebrity_industry_,-0.02986508838598259,-0.458134528193881
celebrity_industry_Social media personality,celebrity_industry_,-0.044347442214198785,-0.40442368521496175
celebrity_industry_Model,celebrity_industry_,-0.05935668367985075,-1.0932125053005144
celebrity_industry_Motivational Speaker,celebrity_industry_,-0.06641456097539504,1.1080957330658028
celebrity_industry_Beauty Pagent,celebrity_industry_,-0.10098555290017586,-1.9824579324286415
celebrity_industry_Military,celebrity_industry_,-0.1053502213080049,0.4527410070356296
celebrity_industry_Fashion Designer,celebrity_industry_,-0.10695747403397868,-1.7750469409428629
celebrity_industry_Radio Personality,celebrity_industry_,-0.10720176808903122,-1.1700616035095992
celebrity_industry_Racing Driver,celebrity_industry_,-0.10934460426267659,0.2075840486290319
celebrity_industry_TV Personality,celebrity_industry_,-0.11044731532208682,-0.34549004948653883
celebrity_industry_Social Media Personality,celebrity_industry_,-0.11617200714512041,-0.3455862179335785
celebrity_industry_Fitness Instructor,celebrity_industry_,-0.11758232306648153,0.7944449262553352
celebrity_industry_Comedian,celebrity_industry_,-0.1404019257764001,-0.6231322540982249
celebrity_industry_Entrepreneur,celebrity_industry_,-0.15112657535182705,-1.4766725014608277
celebrity_industry_Astronaut,celebrity_industry_,-0.1558697261974623,0.906556393011418
celebrity_industry_Politician,celebrity_industry_,-0.15968767364631908,-1.2175838911925447
celebrity_industry_Producer,celebrity_industry_,-0.18843265979348212,0.5502931697061344
celebrity_industry_Sports Broadcaster,celebrity_industry_,-0.3287557807537042,-0.37411541366074497
celebrity_industry_Magician,celebrity_industry_,-0.4162406334375577,-5.4284032011010614
celebrity_homestate_Maine,celebrity_homestate_,0.32264172242562106,1.4593127430063304
celebrity_homestate_Tennessee,celebrity_homestate_,0.18343886453702654,0.6724316625899138
celebrity_homestate_Indiana,celebrity_homestate_,0.12602239018999659,-1.6067112956943852
celebrity_homestate_Colorado,celebrity_homestate_,0.10908506254316087,-0.5224084129058566
celebrity_homestate_Mississippi,celebrity_homestate_,0.07396306947709952,0.8379451899930639
celebrity_homestate_Massachusetts,celebrity_homestate_,0.06673083506421254,0.8484098988033999
celebrity_homestate_Utah,celebrity_homestate_,0.06166083033079009,2.046570199099364
celebrity_homestate_Wisconsin,celebrity_homestate_,0.05863667138349981,-0.7063661673345488
celebrity_homestate_Oregon,celebrity_homestate_,0.048665275315571285,0.6498968089100584
celebrity_homestate_Connecticut,celebrity_homestate_,0.034592552316099257,0.5797664684037706
celebrity_homestate_Georgia,celebrity_homestate_,0.029586661030476247,0.7767266591595651
celebrity_homestate_Pennsylvania,celebrity_homestate_,0.01882623734468601,1.1511593058895107
celebrity_homestate_South Carolina,celebrity_homestate_,0.0011686217385800737,0.42119454078903906
celebrity_homestate_Louisiana,celebrity_homestate_,0.0002209482426372561,1.0983217532099399
celebrity_homestate_Virginia,celebrity_homestate_,-0.02240136703785768,0.48798699085261515
celebrity_homestate_Arkansas,celebrity_homestate_,-0.024000117331683238,0.9846193117196236
celebrity_homestate_West Virginia,celebrity_homestate_,-0.041192572118517776,-0.8226179106944225
celebrity_homestate_Nevada,celebrity_homestate_,-0.047060778716993865,0.7594301485223542
celebrity_homestate_Washington,celebrity_homestate_,-0.04879352254469179,0.7841393080784322
celebrity_homestate_Maryland,celebrity_homestate_,-0.05171196148387101,-0.14365410575048543
celebrity_homestate_Hawaii,celebrity_homestate_,-0.0645928365563461,0.4587431252733649
celebrity_homestate_Florida,celebrity_homestate_,-0.07642880378227138,0.39289162725823945
celebrity_homestate_California,celebrity_homestate_,-0.09393114263366692,-0.19186951373157823
celebrity_homestate_New Mexico,celebrity_homestate_,-0.09414308856790345,-1.8754524394736654
celebrity_homestate_Kansas,celebrity_homestate_,-0.09570294369549867,0.003708042354920865
celebrity_homestate_New York,celebrity_homestate_,-0.10394449365410352,0.19466450481814412
celebrity_homestate_Texas,celebrity_homestate_,-0.10567793428447733,0.4616256679246129
celebrity_homestate_South Dakota,celebrity_homestate_,-0.1085489005905616,0.5570904114330764
celebrity_homestate_Ohio,celebrity_homestate_,-0.11784341242999422,-0.786828150395833
celebrity_homestate_Alaska,celebrity_homestate_,-0.12861960798330224,0.47338485849042966
celebrity_homestate_Rhode Island,celebrity_homestate_,-0.12888076298264067,-2.5275864057814337
celebrity_homestate_Arizona,celebrity_homestate_,-0.13215170748095262,1.0766375067923506
celebrity_homestate_Washington D.C.,celebrity_homestate_,-0.1408575091082457,1.1328191385400574
celebrity_homestate_New Jersey,celebrity_homestate_,-0.14107988047361453,0.05831525496077261
celebrity_homestate_North Carolina,celebrity_homestate_,-0.14355672827077626,-0.38798823560909756
celebrity_homestate_Michigan,celebrity_homestate_,-0.14704186377820183,0.19823554481793515
celebrity_homestate_Illinois,celebrity_homestate_,-0.15061804584205354,0.12188713776961879
celebrity_homestate_Nebraska,celebrity_homestate_,-0.18234676403567596,0.5615625968448953
celebrity_homestate_Missouri,celebrity_homestate_,-0.1856533392818834,-0.3508501769513043
celebrity_homestate_Kentucky,celebrity_homestate_,-0.19336775607756146,0.3370013795906385
celebrity_homestate_New Hamshire,celebrity_homestate_,-0.19548556418778953,-0.7215864972438927
celebrity_homestate_Iowa,celebrity_homestate_,-0.19551342487944187,0.1219289901547187
celebrity_homestate_Minnesota,celebrity_homestate_,-0.220368159605822,0.38552876157835614
celebrity_homestate_Delaware,celebrity_homestate_,-0.23490838756701266,-0.09054731584549425
celebrity_homecountry/region_New Zealand,celebrity_homecountry/region_,0.7534353924969567,2.8467685546690786
celebrity_homecountry/region_Brazil,celebrity_homecountry/region_,0.023710561964603805,0.07156635213499962
celebrity_homecountry/region_South Korea,celebrity_homecountry/region_,-0.0035438874355018107,1.2117809901385814
celebrity_homecountry/region_Croatia,celebrity_homecountry/region_,-0.007009073940445004,1.0275515677028402
celebrity_homecountry/region_Wales,celebrity_homecountry/region_,-0.06800474725209618,1.1628148122763047
celebrity_homecountry/region_Philippines,celebrity_homecountry/region_,-0.08095068441825953,0.40180194261186764
celebrity_homecountry/region_Spain,celebrity_homecountry/region_,-0.09472002249992695,-2.1342624829879546
celebrity_homecountry/region_Mexico,celebrity_homecountry/region_,-0.10239919811244402,0.3368625463693675
celebrity_homecountry/region_Ireland,celebrity_homecountry/region_,-0.10982302319480197,1.1276044227175366
celebrity_homecountry/region_United States,celebrity_homecountry/region_,-0.11763982456534729,-0.5956469146133798
celebrity_homecountry/region_Canada,celebrity_homecountry/region_,-0.13645926623725654,0.1367669028519931
celebrity_homecountry/region_Venezuela,celebrity_homecountry/region_,-0.16836227865323197,-0.3210076835263444
celebrity_homecountry/region_Cuba,celebrity_homecountry/region_,-0.1770168016381592,0.05723719240248948
celebrity_homecountry/region_Russia,celebrity_homecountry/region_,-0.1893564870600474,-0.5622719916126084
celebrity_homecountry/region_Czechoslovakia,celebrity_homecountry/region_,-0.20794887608100843,-1.3659506625981437
celebrity_homecountry/region_France,celebrity_homecountry/region_,-0.22762994355023478,-0.03495673193263582
celebrity_homecountry/region_England,celebrity_homecountry/region_,-0.23539902566306892,0.1332114485082201
celebrity_homecountry/region_Germany,celebrity_homecountry/region_,-0.2406148056748189,0.5014953367482504
celebrity_homecountry/region_Taiwan China,celebrity_homecountry/region_,-0.26949591312651106,-0.7084067792640053
celebrity_homecountry/region_Chile,celebrity_homecountry/region_,-0.29496755705908745,-0.5383694666157651
celebrity_homecountry/region_Australia,celebrity_homecountry/region_,-0.29999223863034014,-0.8501267570173416
celebrity_homecountry/region_Poland,celebrity_homecountry/region_,-0.384242759979885,-0.8427481721120422
celebrity_homecountry/region_Italy,celebrity_homecountry/region_,-0.3988183972706163,-1.8382858711466947
celebrity_homecountry/region_South Africa,celebrity_homecountry/region_,-0.4121990217856916,-2.921552481491271
celebrity_homecountry/region_Yugoslavia,celebrity_homecountry/region_,-0.6017371684914239,-4.511854409970126
