feature,coef,se_robust,t_robust
celebrity_industry_Con artist,-0.8506586076173916,,
ballroom_partner_Ashly DelGrosso,-0.8881973549899334,4.806410365174368,-0.18479432414375446
ballroom_partner_Sharna Burgess,-0.9045318668659205,,
ballroom_partner_Britt Stewart,-0.9422182860050701,,
ballroom_partner_Lacey Schwimmer,-0.9987256083547991,,
ballroom_partner_Tony Dovolani,-1.0002310827563927,,
celebrity_industry_Model,-1.0932125053005144,0.36411154894787406,-3.0024109602110367
ballroom_partner_Nick Kosovich,-1.1316538207554925,3.8748380835520306,-0.2920518990352534
ballroom_partner_Mark Ballas,-1.1663669448909317,,
celebrity_industry_Radio Personality,-1.1700616035095992,,
ballroom_partner_Chelsie Hightower,-1.182460994482131,,
ballroom_partner_Damian Whitewood,-1.186567353301679,2.0372256733450276,-0.5824427646022111
ballroom_partner_Kym Johnson,-1.2082163945355087,,
celebrity_industry_Politician,-1.2175838911925447,1.4564461957914963,-0.8359964787651195
ballroom_partner_Jenna Johnson,-1.234492197116129,0.6811903333652573,-1.8122573628099163
ballroom_partner_Dmitry Chaplin,-1.3258416185231667,1.4564461957914963,-0.9103265347901484
celebrity_homecountry/region_Czechoslovakia,-1.3659506625981437,8.238903851820137,-0.16579276650939168
ballroom_partner_Artem Chigvintsev,-1.3925758782087794,1.5528194325659503,-0.8968047726628606
ballroom_partner_Edyta Sliwinska,-1.43872286629763,2.4467713612252306,-0.5880087077597572
ballroom_partner_Anna Trebunskaya,-1.4468976183343418,2.4870777881336563,-0.581766129406076
celebrity_industry_Entrepreneur,-1.4766725014608277,444087.12958033645,-3.325186440003986e-06
celebrity_homestate_Indiana,-1.6067112956943852,0.0,
celebrity_industry_Fashion Designer,-1.7750469409428629,,
celebrity_homecountry/region_Italy,-1.8382858711466947,13.026850797443014,-0.1411151397778751
ballroom_partner_Alec Mazo,-1.847980722654127,3.203119570458719,-0.5769315450154979
ballroom_partner_Keo Motsepe,-1.862077308073663,3.9416231400020005,-0.4724138361113635
celebrity_homestate_New Mexico,-1.8754524394736654,,
ballroom_partner_Brian Fortuna,-1.9824579324286409,,
celebrity_industry_Beauty Pagent,-1.9824579324286415,,
celebrity_homecountry/region_Spain,-2.1342624829879546,16.477807703640273,-0.1295234488333332
ballroom_partner_Andrea Hale,-2.142638353034509,,
ballroom_partner_Jonathan Roberts,-2.162669114603977,1.5270928544026603,-1.4162001402658189
ballroom_partner_Jan Ravnik,-2.502413584695492,0.7282230978957481,-3.4363282240379247
celebrity_homestate_Rhode Island,-2.5275864057814337,,
ballroom_partner_Jesse DeSoto,-2.5275864057814377,641625294.6287768,-3.939349690451053e-09
ballroom_partner_Elena Grinenko,-2.795648215537531,2.6018693856904216,-1.0744767707836682
celebrity_homecountry/region_South Africa,-2.921552481491271,,
celebrity_homecountry/region_Yugoslavia,-4.511854409970126,,
ballroom_partner_Tyne Stecklein,-4.518315510437914,3.2105885536773258,-1.4073168937398568
celebrity_industry_Magician,-5.4284032011010614,255650.78342074296,-2.1233665426196432e-05
ballroom_partner_Inna Brayer,-11.246471503494721,1.7199212839467313,-6.538945478764738
